Date : 2025-08-10 14:04:31
Directory : e:\Workspace\Project-laptop-shop\client
Total : 244 files,  49396 codes, 2517 comments, 3708 blanks, all 55621 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |          4 |     21,867 |          0 |          4 |     21,871 |
| JavaScript |        148 |     20,873 |      2,322 |      2,063 |     25,258 |
| HTML       |         80 |      4,612 |         24 |      1,250 |      5,886 |
| CSS        |         11 |      2,043 |        171 |        391 |      2,605 |
| XML        |          1 |          1 |          0 |          0 |          1 |
+------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                         | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| e:\Workspace\Project-laptop-shop\client\src\components\md\HOTLINEBUTTON.md                   | HTML       |         13 |          0 |          5 |         18 |
| e:\Workspace\Project-laptop-shop\client\src\components\md\LANGUAGEREGION.md                  | HTML       |         15 |          0 |          5 |         20 |
| e:\Workspace\Project-laptop-shop\client\src\components\md\NEWSCARD.md                        | HTML       |         15 |          0 |          5 |         20 |
| e:\Workspace\Project-laptop-shop\client\src\components\md\NEWSFILTERS.md                     | HTML       |         20 |          0 |          5 |         25 |
| e:\Workspace\Project-laptop-shop\client\src\components\md\NOTIFICATIONSETTINGS.md            | HTML       |         15 |          0 |          5 |         20 |
| e:\Workspace\Project-laptop-shop\client\src\components\md\NOTIFICATIONSPANEL.md              | HTML       |         16 |          0 |          5 |         21 |
| e:\Workspace\Project-laptop-shop\client\src\components\md\ORDERSUMMARY.md                    | HTML       |         16 |          0 |          5 |         21 |
| e:\Workspace\Project-laptop-shop\client\src\components\md\PARTICLES_README.md                | HTML       |         27 |          0 |          6 |         33 |
| e:\Workspace\Project-laptop-shop\client\src\components\md\PERMISSIONGROUP.md                 | HTML       |         13 |          0 |          5 |         18 |
| e:\Workspace\Project-laptop-shop\client\src\components\md\PERMISSIONSSECTION.md              | HTML       |         14 |          0 |          5 |         19 |
| e:\Workspace\Project-laptop-shop\client\src\components\md\PERMISSIONTABLE.md                 | HTML       |         18 |          0 |          5 |         23 |
| e:\Workspace\Project-laptop-shop\client\src\components\md\PRODUCTFILTERS.md                  | HTML       |         23 |          0 |          5 |         28 |
| e:\Workspace\Project-laptop-shop\client\src\components\md\PRODUCTHEADER.md                   | HTML       |         15 |          0 |          5 |         20 |
| e:\Workspace\Project-laptop-shop\client\src\components\md\PRODUCTIMAGES.md                   | HTML       |         13 |          0 |          5 |         18 |
| e:\Workspace\Project-laptop-shop\client\src\components\md\PRODUCTPRICE.md                    | HTML       |         15 |          0 |          5 |         20 |
| e:\Workspace\Project-laptop-shop\client\src\components\md\PRODUCTQUANTITY.md                 | HTML       |         16 |          0 |          5 |         21 |
| e:\Workspace\Project-laptop-shop\client\src\components\md\PRODUCTREVIEWS.md                  | HTML       |         14 |          0 |          5 |         19 |
| e:\Workspace\Project-laptop-shop\client\src\components\md\RELATEDPRODUCTS.md                 | HTML       |         13 |          0 |          5 |         18 |
| e:\Workspace\Project-laptop-shop\client\src\components\md\SECTIONBAR.md                      | HTML       |         13 |          0 |          5 |         18 |
| e:\Workspace\Project-laptop-shop\client\src\components\md\SECTIONHEADER.md                   | HTML       |         15 |          0 |          5 |         20 |
| e:\Workspace\Project-laptop-shop\client\src\components\md\SECTIONSIDEBAR.md                  | HTML       |         15 |          0 |          5 |         20 |
| e:\Workspace\Project-laptop-shop\client\src\components\md\SERVICEFEATURES.md                 | HTML       |         13 |          0 |          5 |         18 |
| e:\Workspace\Project-laptop-shop\client\src\components\md\SHAREMODAL.md                      | HTML       |         15 |          0 |          5 |         20 |
| e:\Workspace\Project-laptop-shop\client\src\components\md\SPLASH_SCREEN.md                   | HTML       |          0 |          0 |          1 |          1 |
| e:\Workspace\Project-laptop-shop\client\src\components\md\STATSCARDS.md                      | HTML       |         14 |          0 |          5 |         19 |
| e:\Workspace\Project-laptop-shop\client\src\components\md\STATSTABLE.md                      | HTML       |         18 |          0 |          5 |         23 |
| e:\Workspace\Project-laptop-shop\client\src\components\md\TABLEDASHBOARD.md                  | HTML       |         17 |          0 |          5 |         22 |
| e:\Workspace\Project-laptop-shop\client\src\components\md\ZALOBUTTON.md                      | HTML       |         14 |          0 |          5 |         19 |
| e:\Workspace\Project-laptop-shop\client\src\components\permission\AddPermissionModal.js      | JavaScript |         63 |          0 |          3 |         66 |
