"filename", "language", "JavaScript", "HTML", "JSON", "CSS", "XML", "comment", "blank", "total"
"e:\Workspace\Project-laptop-shop\client\src\components\md\CHANGEPASSWORD.md", "HTML", 0, 14, 0, 0, 0, 0, 5, 19
"e:\Workspace\Project-laptop-shop\client\src\components\md\CHARTS.md", "HTML", 0, 18, 0, 0, 0, 0, 5, 23
"e:\Workspace\Project-laptop-shop\client\src\components\md\CKEDITORCOMPONENT.md", "HTML", 0, 19, 0, 0, 0, 0, 5, 24
"e:\Workspace\Project-laptop-shop\client\src\components\md\DASHBOARDCARD.md", "HTML", 0, 18, 0, 0, 0, 0, 5, 23
"e:\Workspace\Project-laptop-shop\client\src\components\md\DESCRIPTIONMODAL.md", "HTML", 0, 15, 0, 0, 0, 0, 5, 20
"e:\Workspace\Project-laptop-shop\client\src\components\md\FACEBOOKBUTTON.md", "HTML", 0, 14, 0, 0, 0, 0, 5, 19
"e:\Workspace\Project-laptop-shop\client\src\components\md\FOOTER.md", "HTML", 0, 17, 0, 0, 0, 0, 5, 22
"e:\Workspace\Project-laptop-shop\client\src\components\md\HEADER.md", "HTML", 0, 18, 0, 0, 0, 0, 5, 23
"e:\Workspace\Project-laptop-shop\client\src\components\md\HELPSUPPORT.md", "HTML", 0, 13, 0, 0, 0, 0, 5, 18
"e:\Workspace\Project-laptop-shop\client\src\components\md\HOTLINEBUTTON.md", "HTML", 0, 13, 0, 0, 0, 0, 5, 18
"e:\Workspace\Project-laptop-shop\client\src\components\md\LANGUAGEREGION.md", "HTML", 0, 15, 0, 0, 0, 0, 5, 20
"e:\Workspace\Project-laptop-shop\client\src\components\md\NEWSCARD.md", "HTML", 0, 15, 0, 0, 0, 0, 5, 20
"e:\Workspace\Project-laptop-shop\client\src\components\md\NEWSFILTERS.md", "HTML", 0, 20, 0, 0, 0, 0, 5, 25
"e:\Workspace\Project-laptop-shop\client\src\components\md\NOTIFICATIONSETTINGS.md", "HTML", 0, 15, 0, 0, 0, 0, 5, 20
"e:\Workspace\Project-laptop-shop\client\src\components\md\NOTIFICATIONSPANEL.md", "HTML", 0, 16, 0, 0, 0, 0, 5, 21
"e:\Workspace\Project-laptop-shop\client\src\components\md\ORDERSUMMARY.md", "HTML", 0, 16, 0, 0, 0, 0, 5, 21
"e:\Workspace\Project-laptop-shop\client\src\components\md\PARTICLES_README.md", "HTML", 0, 27, 0, 0, 0, 0, 6, 33
"e:\Workspace\Project-laptop-shop\client\src\components\md\PERMISSIONGROUP.md", "HTML", 0, 13, 0, 0, 0, 0, 5, 18
"e:\Workspace\Project-laptop-shop\client\src\components\md\PERMISSIONSSECTION.md", "HTML", 0, 14, 0, 0, 0, 0, 5, 19
"e:\Workspace\Project-laptop-shop\client\src\components\md\PERMISSIONTABLE.md", "HTML", 0, 18, 0, 0, 0, 0, 5, 23
"e:\Workspace\Project-laptop-shop\client\src\components\md\PRODUCTFILTERS.md", "HTML", 0, 23, 0, 0, 0, 0, 5, 28
"e:\Workspace\Project-laptop-shop\client\src\components\md\PRODUCTHEADER.md", "HTML", 0, 15, 0, 0, 0, 0, 5, 20
"e:\Workspace\Project-laptop-shop\client\src\components\md\PRODUCTIMAGES.md", "HTML", 0, 13, 0, 0, 0, 0, 5, 18
"e:\Workspace\Project-laptop-shop\client\src\components\md\PRODUCTPRICE.md", "HTML", 0, 15, 0, 0, 0, 0, 5, 20
"e:\Workspace\Project-laptop-shop\client\src\components\md\PRODUCTQUANTITY.md", "HTML", 0, 16, 0, 0, 0, 0, 5, 21
"e:\Workspace\Project-laptop-shop\client\src\components\md\PRODUCTREVIEWS.md", "HTML", 0, 14, 0, 0, 0, 0, 5, 19
"e:\Workspace\Project-laptop-shop\client\src\components\md\RELATEDPRODUCTS.md", "HTML", 0, 13, 0, 0, 0, 0, 5, 18
"e:\Workspace\Project-laptop-shop\client\src\components\md\SECTIONBAR.md", "HTML", 0, 13, 0, 0, 0, 0, 5, 18
"e:\Workspace\Project-laptop-shop\client\src\components\md\SECTIONHEADER.md", "HTML", 0, 15, 0, 0, 0, 0, 5, 20
"e:\Workspace\Project-laptop-shop\client\src\components\md\SECTIONSIDEBAR.md", "HTML", 0, 15, 0, 0, 0, 0, 5, 20
"e:\Workspace\Project-laptop-shop\client\src\components\md\SERVICEFEATURES.md", "HTML", 0, 13, 0, 0, 0, 0, 5, 18
"e:\Workspace\Project-laptop-shop\client\src\components\md\SHAREMODAL.md", "HTML", 0, 15, 0, 0, 0, 0, 5, 20
"e:\Workspace\Project-laptop-shop\client\src\components\md\SPLASH_SCREEN.md", "HTML", 0, 0, 0, 0, 0, 0, 1, 1
"e:\Workspace\Project-laptop-shop\client\src\components\md\STATSCARDS.md", "HTML", 0, 14, 0, 0, 0, 0, 5, 19
"e:\Workspace\Project-laptop-shop\client\src\components\md\STATSTABLE.md", "HTML", 0, 18, 0, 0, 0, 0, 5, 23
