Date : 2025-08-08 02:20:29
Directory : e:\Workspace\Project-laptop-shop\client
Total : 308 files,  9669 codes, 1096 comments, 1550 blanks, all 12315 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\pages\admin\Dashboard.js                   | JavaScript     |       -926 |         -9 |        -34 |       -969 |
| c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\pages\admin\NewsManager.js                 | JavaScript     |       -655 |        -32 |        -31 |       -718 |
| c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\pages\admin\OrderManager.js                | JavaScript     |       -484 |         -5 |        -21 |       -510 |
| c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\pages\admin\ProductManager.js              | JavaScript     |       -796 |        -29 |        -59 |       -884 |
| c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\pages\admin\UserManager.js                 | JavaScript     |       -481 |         -8 |        -17 |       -506 |
| c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\pages\auth\SignIn.js                       | JavaScript     |       -256 |         -1 |        -36 |       -293 |
| c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\pages\auth\SignUp.js                       | JavaScript     |       -245 |          0 |        -22 |       -267 |
| c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\reportWebVitals.js                         | JavaScript     |        -12 |          0 |         -2 |        -14 |
| c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\setupTests.js                              | JavaScript     |         -1 |         -4 |         -1 |         -6 |
| c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\styles\ckeditor.css                        | CSS            |          0 |          0 |         -1 |         -1 |
| c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\trash\AdminSideBar.js                      | JavaScript     |        -65 |          0 |         -8 |        -73 |
| c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\trash\AppRoutes.js                         | JavaScript     |          0 |        -25 |         -4 |        -29 |
| c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\trash\AppToast.js                          | JavaScript     |          0 |        -21 |         -2 |        -23 |
| c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\trash\AuthForm.js                          | JavaScript     |          0 |       -359 |        -43 |       -402 |
| c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\trash\AuthTabs.js                          | JavaScript     |          0 |        -22 |         -2 |        -24 |
| c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\trash\CardNews.js                          | JavaScript     |        -25 |          0 |         -3 |        -28 |
| c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\trash\DashboardCards.js                    | JavaScript     |          0 |       -103 |         -4 |       -107 |
| c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\trash\Payment.js                           | JavaScript     |        -25 |          0 |         -6 |        -31 |
| c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\trash\ServiceCard.js                       | JavaScript     |        -10 |          0 |         -3 |        -13 |
| c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\trash\SignInUp.js                          | JavaScript     |          0 |        -34 |         -7 |        -41 |
| c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\utils\auth.js                              | JavaScript     |       -331 |        -90 |        -86 |       -507 |
| c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\tailwind.config.js                             | JavaScript     |         -7 |          0 |          0 |         -7 |
| c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\trans.js                                       | JavaScript     |       -796 |        -29 |        -59 |       -884 |
| e:\Workspace\Project-laptop-shop\client\.eslintrc.js                                                      | JavaScript JSX |         64 |         13 |         11 |         88 |
| e:\Workspace\Project-laptop-shop\client\README.md                                                         | HTML           |         38 |          0 |         33 |         71 |
| e:\Workspace\Project-laptop-shop\client\docs\dropdown.md                                                  | HTML           |          0 |          0 |          1 |          1 |
| e:\Workspace\Project-laptop-shop\client\package-lock.json                                                 | JSON           |     21,655 |          0 |          1 |     21,656 |
| e:\Workspace\Project-laptop-shop\client\package.json                                                      | JSON           |         77 |          0 |          1 |         78 |
| e:\Workspace\Project-laptop-shop\client\postcss.config.js                                                 | JavaScript     |          6 |          0 |          1 |          7 |
| e:\Workspace\Project-laptop-shop\client\public\index.html                                                 | HTML           |         28 |         24 |          1 |         53 |
| e:\Workspace\Project-laptop-shop\client\public\manifest.json                                              | JSON           |         25 |          0 |          1 |         26 |
| e:\Workspace\Project-laptop-shop\client\src\App.css                                                       | PostCSS        |         53 |          4 |          6 |         63 |
| e:\Workspace\Project-laptop-shop\client\src\App.js                                                        | JavaScript     |        102 |          0 |          7 |        109 |
| e:\Workspace\Project-laptop-shop\client\src\App.test.js                                                   | JavaScript     |          7 |          0 |          2 |          9 |
| e:\Workspace\Project-laptop-shop\client\src\components\AnimatedCounter.js                                 | JavaScript     |        105 |          3 |         17 |        125 |
| e:\Workspace\Project-laptop-shop\client\src\components\Charts.js                                          | JavaScript     |        468 |          4 |         23 |        495 |
| e:\Workspace\Project-laptop-shop\client\src\components\Footer.js                                          | JavaScript     |         83 |          0 |          7 |         90 |
| e:\Workspace\Project-laptop-shop\client\src\components\Header.js                                          | JavaScript     |        292 |          4 |         16 |        312 |
| e:\Workspace\Project-laptop-shop\client\src\components\LoadingProgressBar.js                              | JavaScript     |         52 |          0 |          6 |         58 |
| e:\Workspace\Project-laptop-shop\client\src\components\NotificationsPanel.js                              | JavaScript     |        444 |          2 |         15 |        461 |
| e:\Workspace\Project-laptop-shop\client\src\components\PermissionTable.js                                 | JavaScript     |        226 |          1 |         14 |        241 |
| e:\Workspace\Project-laptop-shop\client\src\components\StatsTable.js                                      | JavaScript     |        270 |          5 |         20 |        295 |
| e:\Workspace\Project-laptop-shop\client\src\components\card\CardBanner.js                                 | JavaScript     |         19 |          0 |          3 |         22 |
| e:\Workspace\Project-laptop-shop\client\src\components\card\CardPermission.js                             | JavaScript     |         58 |          0 |          3 |         61 |
| e:\Workspace\Project-laptop-shop\client\src\components\card\CardProduct.js                                | JavaScript     |         84 |          3 |         13 |        100 |
| e:\Workspace\Project-laptop-shop\client\src\components\card\CardProductLarge.js                           | JavaScript     |         55 |          3 |          2 |         60 |
| e:\Workspace\Project-laptop-shop\client\src\components\card\CardPromoHalfImage.js                         | JavaScript     |         27 |          0 |          2 |         29 |
| e:\Workspace\Project-laptop-shop\client\src\components\card\CardReview.js                                 | JavaScript     |         29 |          0 |          4 |         33 |
| e:\Workspace\Project-laptop-shop\client\src\components\card\CardService.js                                | JavaScript     |         10 |          0 |          1 |         11 |
| e:\Workspace\Project-laptop-shop\client\src\components\card\NewsCard.js                                   | JavaScript     |         95 |          6 |         16 |        117 |
| e:\Workspace\Project-laptop-shop\client\src\components\cart\CartItemRow.js                                | JavaScript     |         47 |          0 |          3 |         50 |
| e:\Workspace\Project-laptop-shop\client\src\components\cart\CartTable.js                                  | JavaScript     |         36 |          0 |          3 |         39 |
| e:\Workspace\Project-laptop-shop\client\src\components\cart\OrderSummary.js                               | JavaScript     |         69 |          0 |          4 |         73 |
| e:\Workspace\Project-laptop-shop\client\src\components\contact\FacebookButton.js                          | JavaScript     |         42 |          0 |          2 |         44 |
| e:\Workspace\Project-laptop-shop\client\src\components\contact\HotlineButton.js                           | JavaScript     |         56 |          0 |          5 |         61 |
| e:\Workspace\Project-laptop-shop\client\src\components\contact\ZaloButton.js                              | JavaScript     |         58 |          0 |          4 |         62 |
| e:\Workspace\Project-laptop-shop\client\src\components\dashboard\DashboardCard.js                         | JavaScript     |         58 |          5 |          8 |         71 |
| e:\Workspace\Project-laptop-shop\client\src\components\dashboard\TableDashboard.js                        | JavaScript     |         34 |          1 |          5 |         40 |
| e:\Workspace\Project-laptop-shop\client\src\components\detail\AllReviewsModal.js                          | JavaScript     |        145 |          0 |          5 |        150 |
| e:\Workspace\Project-laptop-shop\client\src\components\detail\BreadcrumbNav.js                            | JavaScript     |         45 |          0 |          3 |         48 |
| e:\Workspace\Project-laptop-shop\client\src\components\detail\DescriptionModal.js                         | JavaScript     |         38 |          0 |          3 |         41 |
| e:\Workspace\Project-laptop-shop\client\src\components\detail\ProductHeader.js                            | JavaScript     |         25 |          0 |          5 |         30 |
| e:\Workspace\Project-laptop-shop\client\src\components\detail\ProductImages.js                            | JavaScript     |         42 |          0 |          2 |         44 |
| e:\Workspace\Project-laptop-shop\client\src\components\detail\ProductPrice.js                             | JavaScript     |         17 |          0 |          3 |         20 |
| e:\Workspace\Project-laptop-shop\client\src\components\detail\ProductQuantity.js                          | JavaScript     |         34 |          0 |          4 |         38 |
| e:\Workspace\Project-laptop-shop\client\src\components\detail\ProductReviews.js                           | JavaScript     |         81 |          0 |          7 |         88 |
| e:\Workspace\Project-laptop-shop\client\src\components\detail\RelatedProducts.js                          | JavaScript     |         37 |          0 |          4 |         41 |
| e:\Workspace\Project-laptop-shop\client\src\components\detail\ServiceFeatures.js                          | JavaScript     |         22 |          0 |          3 |         25 |
| e:\Workspace\Project-laptop-shop\client\src\components\detail\ShareModal.js                               | JavaScript     |         59 |          0 |          6 |         65 |
| e:\Workspace\Project-laptop-shop\client\src\components\editor\CKEditorComponent.js                        | JavaScript     |         41 |          3 |          5 |         49 |
| e:\Workspace\Project-laptop-shop\client\src\components\filters\NewsFilters.js                             | JavaScript     |        128 |          2 |          7 |        137 |
| e:\Workspace\Project-laptop-shop\client\src\components\filters\ProductFilters.js                          | JavaScript     |        124 |          5 |         17 |        146 |
| e:\Workspace\Project-laptop-shop\client\src\components\md\ACCOUNTINFO.md                                  | HTML           |         13 |          0 |          5 |         18 |
| e:\Workspace\Project-laptop-shop\client\src\components\md\ADDPERMISSIONMODAL.md                           | HTML           |         16 |          0 |          5 |         21 |
| e:\Workspace\Project-laptop-shop\client\src\components\md\ALLREVIEWSMODAL.md                              | HTML           |         16 |          0 |          5 |         21 |
| e:\Workspace\Project-laptop-shop\client\src\components\md\ANIMATEDCOUNTER.md                              | HTML           |         17 |          0 |          5 |         22 |
| e:\Workspace\Project-laptop-shop\client\src\components\md\BREADCRUMBNAV.md                                | HTML           |         13 |          0 |          5 |         18 |
| e:\Workspace\Project-laptop-shop\client\src\components\md\CARDBANNER.md                                   | HTML           |         13 |          0 |          5 |         18 |
| e:\Workspace\Project-laptop-shop\client\src\components\md\CARDPERMISSION.md                               | HTML           |         13 |          0 |          5 |         18 |
| e:\Workspace\Project-laptop-shop\client\src\components\md\CARDPRODUCT.md                                  | HTML           |         17 |          0 |          5 |         22 |
| e:\Workspace\Project-laptop-shop\client\src\components\md\CARDREVIEW.md                                   | HTML           |         14 |          0 |          5 |         19 |
| e:\Workspace\Project-laptop-shop\client\src\components\md\CARDSERVICE.md                                  | HTML           |         13 |          0 |          5 |         18 |
| e:\Workspace\Project-laptop-shop\client\src\components\md\CARTITEMROW.md                                  | HTML           |         16 |          0 |          5 |         21 |
| e:\Workspace\Project-laptop-shop\client\src\components\md\CARTTABlE.md                                    | HTML           |         16 |          0 |          5 |         21 |
| e:\Workspace\Project-laptop-shop\client\src\components\md\CHANGEPASSWORD.md                               | HTML           |         14 |          0 |          5 |         19 |
| e:\Workspace\Project-laptop-shop\client\src\components\md\CHARTS.md                                       | HTML           |         18 |          0 |          5 |         23 |
| e:\Workspace\Project-laptop-shop\client\src\components\md\CKEDITORCOMPONENT.md                            | HTML           |         19 |          0 |          5 |         24 |
| e:\Workspace\Project-laptop-shop\client\src\components\md\DASHBOARDCARD.md                                | HTML           |         18 |          0 |          5 |         23 |
| e:\Workspace\Project-laptop-shop\client\src\components\md\DESCRIPTIONMODAL.md                             | HTML           |         15 |          0 |          5 |         20 |
| e:\Workspace\Project-laptop-shop\client\src\components\md\FACEBOOKBUTTON.md                               | HTML           |         14 |          0 |          5 |         19 |
| e:\Workspace\Project-laptop-shop\client\src\components\md\FOOTER.md                                       | HTML           |         17 |          0 |          5 |         22 |
| e:\Workspace\Project-laptop-shop\client\src\components\md\HEADER.md                                       | HTML           |         18 |          0 |          5 |         23 |
| e:\Workspace\Project-laptop-shop\client\src\components\md\HELPSUPPORT.md                                  | HTML           |         13 |          0 |          5 |         18 |
| e:\Workspace\Project-laptop-shop\client\src\components\md\HOTLINEBUTTON.md                                | HTML           |         13 |          0 |          5 |         18 |
| e:\Workspace\Project-laptop-shop\client\src\components\md\LANGUAGEREGION.md                               | HTML           |         15 |          0 |          5 |         20 |
| e:\Workspace\Project-laptop-shop\client\src\components\md\NEWSCARD.md                                     | HTML           |         15 |          0 |          5 |         20 |
| e:\Workspace\Project-laptop-shop\client\src\components\md\NEWSFILTERS.md                                  | HTML           |         20 |          0 |          5 |         25 |
