"filename", "language", "JavaScript JSX", "JavaScript", "HTML", "JSON", "PostCSS", "XML", "CSS", "comment", "blank", "total"
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\src\utils\auth.js", "JavaScript", 0, -331, 0, 0, 0, 0, 0, -90, -86, -507
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\tailwind.config.js", "JavaScript", 0, -7, 0, 0, 0, 0, 0, 0, 0, -7
"c:\Users\Admin\Downloads\Project-laptop-shop\FE-laptopshop\trans.js", "JavaScript", 0, -796, 0, 0, 0, 0, 0, -29, -59, -884
"e:\Workspace\Project-laptop-shop\client\.eslintrc.js", "JavaScript JSX", 64, 0, 0, 0, 0, 0, 0, 13, 11, 88
"e:\Workspace\Project-laptop-shop\client\README.md", "HTML", 0, 0, 38, 0, 0, 0, 0, 0, 33, 71
"e:\Workspace\Project-laptop-shop\client\docs\dropdown.md", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Workspace\Project-laptop-shop\client\package-lock.json", "JSON", 0, 0, 0, 21655, 0, 0, 0, 0, 1, 21656
"e:\Workspace\Project-laptop-shop\client\package.json", "JSON", 0, 0, 0, 77, 0, 0, 0, 0, 1, 78
"e:\Workspace\Project-laptop-shop\client\postcss.config.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"e:\Workspace\Project-laptop-shop\client\public\index.html", "HTML", 0, 0, 28, 0, 0, 0, 0, 24, 1, 53
"e:\Workspace\Project-laptop-shop\client\public\manifest.json", "JSON", 0, 0, 0, 25, 0, 0, 0, 0, 1, 26
"e:\Workspace\Project-laptop-shop\client\src\App.css", "PostCSS", 0, 0, 0, 0, 53, 0, 0, 4, 6, 63
"e:\Workspace\Project-laptop-shop\client\src\App.js", "JavaScript", 0, 102, 0, 0, 0, 0, 0, 0, 7, 109
"e:\Workspace\Project-laptop-shop\client\src\App.test.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 2, 9
"e:\Workspace\Project-laptop-shop\client\src\components\AnimatedCounter.js", "JavaScript", 0, 105, 0, 0, 0, 0, 0, 3, 17, 125
"e:\Workspace\Project-laptop-shop\client\src\components\Charts.js", "JavaScript", 0, 468, 0, 0, 0, 0, 0, 4, 23, 495
"e:\Workspace\Project-laptop-shop\client\src\components\Footer.js", "JavaScript", 0, 83, 0, 0, 0, 0, 0, 0, 7, 90
"e:\Workspace\Project-laptop-shop\client\src\components\Header.js", "JavaScript", 0, 292, 0, 0, 0, 0, 0, 4, 16, 312
"e:\Workspace\Project-laptop-shop\client\src\components\LoadingProgressBar.js", "JavaScript", 0, 52, 0, 0, 0, 0, 0, 0, 6, 58
"e:\Workspace\Project-laptop-shop\client\src\components\NotificationsPanel.js", "JavaScript", 0, 444, 0, 0, 0, 0, 0, 2, 15, 461
"e:\Workspace\Project-laptop-shop\client\src\components\PermissionTable.js", "JavaScript", 0, 226, 0, 0, 0, 0, 0, 1, 14, 241
"e:\Workspace\Project-laptop-shop\client\src\components\StatsTable.js", "JavaScript", 0, 270, 0, 0, 0, 0, 0, 5, 20, 295
"e:\Workspace\Project-laptop-shop\client\src\components\card\CardBanner.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 0, 3, 22
"e:\Workspace\Project-laptop-shop\client\src\components\card\CardPermission.js", "JavaScript", 0, 58, 0, 0, 0, 0, 0, 0, 3, 61
"e:\Workspace\Project-laptop-shop\client\src\components\card\CardProduct.js", "JavaScript", 0, 84, 0, 0, 0, 0, 0, 3, 13, 100
"e:\Workspace\Project-laptop-shop\client\src\components\card\CardProductLarge.js", "JavaScript", 0, 55, 0, 0, 0, 0, 0, 3, 2, 60
"e:\Workspace\Project-laptop-shop\client\src\components\card\CardPromoHalfImage.js", "JavaScript", 0, 27, 0, 0, 0, 0, 0, 0, 2, 29
"e:\Workspace\Project-laptop-shop\client\src\components\card\CardReview.js", "JavaScript", 0, 29, 0, 0, 0, 0, 0, 0, 4, 33
"e:\Workspace\Project-laptop-shop\client\src\components\card\CardService.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 1, 11
"e:\Workspace\Project-laptop-shop\client\src\components\card\NewsCard.js", "JavaScript", 0, 95, 0, 0, 0, 0, 0, 6, 16, 117
"e:\Workspace\Project-laptop-shop\client\src\components\cart\CartItemRow.js", "JavaScript", 0, 47, 0, 0, 0, 0, 0, 0, 3, 50
"e:\Workspace\Project-laptop-shop\client\src\components\cart\CartTable.js", "JavaScript", 0, 36, 0, 0, 0, 0, 0, 0, 3, 39
"e:\Workspace\Project-laptop-shop\client\src\components\cart\OrderSummary.js", "JavaScript", 0, 69, 0, 0, 0, 0, 0, 0, 4, 73
"e:\Workspace\Project-laptop-shop\client\src\components\contact\FacebookButton.js", "JavaScript", 0, 42, 0, 0, 0, 0, 0, 0, 2, 44
"e:\Workspace\Project-laptop-shop\client\src\components\contact\HotlineButton.js", "JavaScript", 0, 56, 0, 0, 0, 0, 0, 0, 5, 61
"e:\Workspace\Project-laptop-shop\client\src\components\contact\ZaloButton.js", "JavaScript", 0, 58, 0, 0, 0, 0, 0, 0, 4, 62
"e:\Workspace\Project-laptop-shop\client\src\components\dashboard\DashboardCard.js", "JavaScript", 0, 58, 0, 0, 0, 0, 0, 5, 8, 71
"e:\Workspace\Project-laptop-shop\client\src\components\dashboard\TableDashboard.js", "JavaScript", 0, 34, 0, 0, 0, 0, 0, 1, 5, 40
"e:\Workspace\Project-laptop-shop\client\src\components\detail\AllReviewsModal.js", "JavaScript", 0, 145, 0, 0, 0, 0, 0, 0, 5, 150
"e:\Workspace\Project-laptop-shop\client\src\components\detail\BreadcrumbNav.js", "JavaScript", 0, 45, 0, 0, 0, 0, 0, 0, 3, 48
"e:\Workspace\Project-laptop-shop\client\src\components\detail\DescriptionModal.js", "JavaScript", 0, 38, 0, 0, 0, 0, 0, 0, 3, 41
"e:\Workspace\Project-laptop-shop\client\src\components\detail\ProductHeader.js", "JavaScript", 0, 25, 0, 0, 0, 0, 0, 0, 5, 30
"e:\Workspace\Project-laptop-shop\client\src\components\detail\ProductImages.js", "JavaScript", 0, 42, 0, 0, 0, 0, 0, 0, 2, 44
"e:\Workspace\Project-laptop-shop\client\src\components\detail\ProductPrice.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 0, 3, 20
"e:\Workspace\Project-laptop-shop\client\src\components\detail\ProductQuantity.js", "JavaScript", 0, 34, 0, 0, 0, 0, 0, 0, 4, 38
"e:\Workspace\Project-laptop-shop\client\src\components\detail\ProductReviews.js", "JavaScript", 0, 81, 0, 0, 0, 0, 0, 0, 7, 88
"e:\Workspace\Project-laptop-shop\client\src\components\detail\RelatedProducts.js", "JavaScript", 0, 37, 0, 0, 0, 0, 0, 0, 4, 41
"e:\Workspace\Project-laptop-shop\client\src\components\detail\ServiceFeatures.js", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 0, 3, 25
"e:\Workspace\Project-laptop-shop\client\src\components\detail\ShareModal.js", "JavaScript", 0, 59, 0, 0, 0, 0, 0, 0, 6, 65
"e:\Workspace\Project-laptop-shop\client\src\components\editor\CKEditorComponent.js", "JavaScript", 0, 41, 0, 0, 0, 0, 0, 3, 5, 49
"e:\Workspace\Project-laptop-shop\client\src\components\filters\NewsFilters.js", "JavaScript", 0, 128, 0, 0, 0, 0, 0, 2, 7, 137
"e:\Workspace\Project-laptop-shop\client\src\components\filters\ProductFilters.js", "JavaScript", 0, 124, 0, 0, 0, 0, 0, 5, 17, 146
"e:\Workspace\Project-laptop-shop\client\src\components\md\ACCOUNTINFO.md", "HTML", 0, 0, 13, 0, 0, 0, 0, 0, 5, 18
"e:\Workspace\Project-laptop-shop\client\src\components\md\ADDPERMISSIONMODAL.md", "HTML", 0, 0, 16, 0, 0, 0, 0, 0, 5, 21
"e:\Workspace\Project-laptop-shop\client\src\components\md\ALLREVIEWSMODAL.md", "HTML", 0, 0, 16, 0, 0, 0, 0, 0, 5, 21
"e:\Workspace\Project-laptop-shop\client\src\components\md\ANIMATEDCOUNTER.md", "HTML", 0, 0, 17, 0, 0, 0, 0, 0, 5, 22
"e:\Workspace\Project-laptop-shop\client\src\components\md\BREADCRUMBNAV.md", "HTML", 0, 0, 13, 0, 0, 0, 0, 0, 5, 18
"e:\Workspace\Project-laptop-shop\client\src\components\md\CARDBANNER.md", "HTML", 0, 0, 13, 0, 0, 0, 0, 0, 5, 18
"e:\Workspace\Project-laptop-shop\client\src\components\md\CARDPERMISSION.md", "HTML", 0, 0, 13, 0, 0, 0, 0, 0, 5, 18
"e:\Workspace\Project-laptop-shop\client\src\components\md\CARDPRODUCT.md", "HTML", 0, 0, 17, 0, 0, 0, 0, 0, 5, 22
"e:\Workspace\Project-laptop-shop\client\src\components\md\CARDREVIEW.md", "HTML", 0, 0, 14, 0, 0, 0, 0, 0, 5, 19
"e:\Workspace\Project-laptop-shop\client\src\components\md\CARDSERVICE.md", "HTML", 0, 0, 13, 0, 0, 0, 0, 0, 5, 18
"e:\Workspace\Project-laptop-shop\client\src\components\md\CARTITEMROW.md", "HTML", 0, 0, 16, 0, 0, 0, 0, 0, 5, 21
"e:\Workspace\Project-laptop-shop\client\src\components\md\CARTTABlE.md", "HTML", 0, 0, 16, 0, 0, 0, 0, 0, 5, 21
"e:\Workspace\Project-laptop-shop\client\src\components\md\CHANGEPASSWORD.md", "HTML", 0, 0, 14, 0, 0, 0, 0, 0, 5, 19
"e:\Workspace\Project-laptop-shop\client\src\components\md\CHARTS.md", "HTML", 0, 0, 18, 0, 0, 0, 0, 0, 5, 23
"e:\Workspace\Project-laptop-shop\client\src\components\md\CKEDITORCOMPONENT.md", "HTML", 0, 0, 19, 0, 0, 0, 0, 0, 5, 24
"e:\Workspace\Project-laptop-shop\client\src\components\md\DASHBOARDCARD.md", "HTML", 0, 0, 18, 0, 0, 0, 0, 0, 5, 23
"e:\Workspace\Project-laptop-shop\client\src\components\md\DESCRIPTIONMODAL.md", "HTML", 0, 0, 15, 0, 0, 0, 0, 0, 5, 20
